time,title,author,page
2021-09-28,HELL 女王暗殺 (幻冬舎文庫),浦賀 和宏,461
2021-09-23,盤上の向日葵,柚月 裕子,563
2021-09-23,果てしなき渇き (宝島社文庫),深町 秋生,509
2021-09-20,肩ごしの恋人 (集英社文庫),唯川 恵,336
2021-09-19,木曜日の子ども,重松 清,424
2021-09-19,珈琲店タレーランの事件簿 2 彼女はカフェオ…,岡崎 琢磨,366
2021-09-19,珈琲店タレーランの事件簿 また会えたなら、あ…,岡崎 琢磨,365
2021-09-12,殺意・鬼哭(新装版) (双葉文庫),乃南アサ,432
2021-09-12,模倣の殺意 (創元推理文庫),中町 信,327
2021-09-12,娼年 (集英社文庫),石田 衣良,224
2021-09-12,ライオンのおやつ,小川 糸,255
2021-09-06,死刑にいたる病 (ハヤカワ文庫JA),櫛木理宇,363
2021-09-05,箱庭図書館,乙一,304
2021-09-04,ルビンの壺が割れた,宿野 かほる,156
2021-09-03,総理の夫,原田 マハ,348
2021-08-31,模倣の殺意 (創元推理文庫),中町 信,327
2021-08-31,夏を喪くす (講談社文庫),原田 マハ,296
2021-08-26,まぐだら屋のマリア (幻冬舎文庫),原田 マハ,385
2021-08-24,残り全部バケーション (集英社文庫),伊坂 幸太郎,304
2021-08-21,i(アイ),西 加奈子,298
2021-08-19,家族シアター,辻村 深月,282
2021-08-18,マチネの終わりに,平野 啓一郎,416
2021-08-18,教誨師 (講談社文庫),堀川 惠子,368
2021-08-17,ぼくはイエローでホワイトで、ちょっとブルー,ブレイディ みかこ,256
2021-08-17,キラキラ共和国,小川 糸,251
2021-08-17,ツバキ文具店,小川 糸,269
2021-08-15,カフーを待ちわびて (宝島社文庫),原田 マハ,346
2021-08-15,旅屋おかえり (集英社文庫),原田 マハ,352
2021-08-15,さいはての彼女 (角川文庫),原田 マハ,236
2021-08-15,ラットマン (光文社文庫),道尾 秀介,333
2021-08-15,フランス人は10着しか服を持たない~パリで学…,ジェニファー・L・スコット,240
2021-08-13,死神の浮力 (文春文庫),伊坂 幸太郎,538
2021-08-11,あすなろ三三七拍子(下) (講談社文庫),重松 清,352
2021-08-09,あすなろ三三七拍子(上) (講談社文庫),重松 清,352
2021-08-07,リピート (文春文庫),乾 くるみ,523
2021-08-07,メリッサの旅 (集英社文庫),ドロシー・ギルマン,312
2021-08-07,暗号解読 下巻 (新潮文庫 シ 37-3),サイモン シン,382
2021-08-01,ブルーアウト (小学館文庫),鈴木 光司,380
2021-08-01,暗号解読（上） (新潮文庫),サイモン シン,340
2021-07-28,塩の街 (角川文庫),有川 浩,444
2021-07-25,フリーター、家を買う。,有川 浩,309
2021-07-25,笑うハーレキン (中公文庫),道尾 秀介,412
2021-07-25,1冊3分で読めて、99%忘れない読書術 瞬読,山中 恵美子,216
2021-07-22,ぼくらの七日間戦争 (角川文庫),宗田 理,383
2021-07-02,太陽の坐る場所 (文春文庫),辻村 深月,392
2021-06-22,美丘 (角川文庫),石田 衣良,304
2021-06-22,のぼうの城 (下) (小学館文庫),和田 竜,218
2021-06-22,のぼうの城,和田 竜,338
2021-06-20,しろいろの街の、その骨の体温の,村田 沙耶香,272
2021-05-19,さくら (小学館文庫),西 加奈子,416
2021-05-14,海賊とよばれた男 下,百田 尚樹,370
2021-05-14,海賊とよばれた男 上,百田 尚樹,386
2021-05-07,色彩を持たない多崎つくると、彼の巡礼の年,村上 春樹,376
2021-05-05,バイバイ、ブラックバード (双葉文庫),伊坂 幸太郎,368
2021-05-05,そして、バトンは渡された,瀬尾まいこ,372
2021-05-04,啼かない鳥は空に溺れる,唯川 恵,306
2021-05-02,クローバーナイト,辻村 深月,337
2021-04-30,動的平衡 生命はなぜそこに宿るのか,福岡 伸一,256
2020-09-04,チア男子!! (集英社文庫),朝井 リョウ,496
2020-08-29,天空の蜂 (講談社文庫),東野 圭吾,634
2020-08-23,人生うまくいく人の感情リセット術 (知的生き…,樺沢 紫苑,209
2020-08-23,超訳 孫子の兵法 「最後に勝つ人」の絶対ルー…,田口 佳史,269
2020-08-23,ウォール街のランダム・ウォーカー<原著第12…,バートン・マルキール,571
2020-08-23,凶悪―ある死刑囚の告発 (新潮文庫),,386
2020-08-05,投資で一番大切な20の教え　賢い投資家になる…,ハワード・マークス,316
2020-08-04,悪党たちは千里を走る (集英社文庫),貫井 徳郎,464
2020-07-26,冷静と情熱のあいだ Rosso (角川文庫),江國 香織,288
2020-07-26,dele ディーリー,本多 孝好,304
2020-07-26,ガソリン生活 (朝日文庫),伊坂幸太郎,528
2020-07-08,会計クイズを解くだけで財務３表がわかる　世界…,大手町のランダムウォーカー,205
2020-07-04,トップ・レフト ウォール街の鷲を撃て (角川…,黒木 亮,499
2020-07-03,乱反射 (朝日文庫),貫井徳郎,600
2020-06-19,カラスの親指 by rule of CROW…,道尾 秀介,520
2020-06-11,微笑む人 (実業之日本社文庫),貫井 徳郎,368
2020-06-11,ジャイロスコープ (新潮文庫),伊坂 幸太郎,302
2020-06-04,連続殺人鬼 カエル男 (宝島社文庫),中山 七里,411
2020-05-30,会社四季報の達人が教える１０倍株・１００倍株…,渡部 清二,263
2020-05-30,くちびるに歌を,中田 永一,285
2020-05-27,十二人の死にたい子どもたち (文春文庫),冲方 丁,495
2020-05-24,チェーン・ポイズン (講談社文庫),本多 孝好,448
2020-05-24,透明カメレオン (角川文庫),道尾 秀介,464
2020-05-24,慟哭 (創元推理文庫),貫井 徳郎,418
2020-05-22,ヒトラーの試写室 (角川文庫),松岡 圭祐,480
2020-05-21,日経新聞マジ読み投資術,渡部 清二,216
2020-05-18,リセット (双葉文庫),垣谷 美雨,384
2020-05-16,たゆたえども沈まず (幻冬舎文庫),原田 マハ,450
2020-05-10,Nのために (双葉文庫),湊 かなえ,328
2020-05-10,12万人が学んだ 投資1年目の教科書,高橋 慶行,232
2020-05-06,ゼロから作るDeep Learning ―P…,斎藤 康毅,320
2020-05-06,キネマの神様 (文春文庫),原田 マハ,331
2020-05-06,上と外 下 (2) (幻冬舎文庫 お 7-1…,恩田 陸,512
2020-05-06,上と外〈上〉 (幻冬舎文庫),恩田 陸,447
2020-04-26,消滅 VANISHING POINT （下）…,恩田 陸,301
2020-04-26,消滅 VANISHING POINT (上)…,恩田 陸,381
2020-04-17,そのときは彼によろしく (小学館文庫),市川 拓司,512
2020-04-17,同級生 (講談社文庫),東野 圭吾,378
2020-04-09,冷静と情熱のあいだ Blu (角川文庫),辻 仁成,262
2020-04-05,漂流 (新潮文庫),吉村 昭,528
2020-04-03,探偵AIのリアル・ディープラーニング (新潮…,早坂 吝,364
2020-04-03,いつもの朝に 下 (集英社文庫),今邑 彩,400
2020-04-03,いつもの朝に 上 (集英社文庫),今邑 彩,384
2020-04-03,ふくわらい (朝日文庫),西 加奈子,304
